
"CONSTRAINT_NAME","CONSTRAINT_TYPE","TABLE_NAME","COLUMN_NAME","POSITION","R_CONSTRAINT_NAME","STATUS"
"CHK_CAJA_ESTADO","C","CAJA","ESTADO",,,"ENABLED"
"CHK_CAJA_FECHA_CIERRE","C","CAJA","FECHA_APERTURA",,,"ENABLED"
"CHK_CAJA_FECHA_CIERRE","C","CAJA","FECHA_CIERRE",,,"ENABLED"
"CHK_CAJA_MONTO_CIERRE","C","CAJA","MONTO_INICIAL",,,"ENABLED"
"CHK_CAJA_MONTO_CIERRE","C","CAJA","MONTO_FINAL",,,"ENABLED"
"CHK_CAJA_MONTO_FINAL","C","CAJA","MONTO_FINAL",,,"ENABLED"
"CHK_CAJA_MONTO_INICIAL","C","CAJA","MONTO_INICIAL",,,"ENABLED"
"CHK_CAJA_TIPO_CIERRE","C","CAJA","TIPO_CIERRE",,,"ENABLED"
"FK_CAJA_LOCAL","R","CAJA","ID_LOCAL",1,"SYS_C008407","ENABLED"
"FK_CAJA_USUARIO","R","CAJA","ID_USUARIO",1,"SYS_C008416","ENABLED"
"SYS_C008442","C","CAJA","ID_CAJA",,,"ENABLED"
"SYS_C008443","C","CAJA","FECHA_APERTURA",,,"ENABLED"
"SYS_C008444","C","CAJA","MONTO_INICIAL",,,"ENABLED"
"SYS_C008445","C","CAJA","ESTADO",,,"ENABLED"
"SYS_C008446","C","CAJA","ID_USUARIO",,,"ENABLED"
"SYS_C008447","C","CAJA","ID_LOCAL",,,"ENABLED"
"SYS_C008454","P","CAJA","ID_CAJA",1,,"ENABLED"
"SYS_C008570","C","CAJA","CREADO_EN",,,"ENABLED"
"SYS_C008571","C","CAJA","ACTUALIZADO_EN",,,"ENABLED"
"SYS_C008572","C","CAJA","CREADO_POR",,,"ENABLED"
"SYS_C008573","C","CAJA","ACTUALIZADO_POR",,,"ENABLED"
"SYS_C008419","C","CATEGORIA","ID_CATEGORIA",,,"ENABLED"
"SYS_C008420","C","CATEGORIA","NOMBRE",,,"ENABLED"
"SYS_C008421","P","CATEGORIA","ID_CATEGORIA",1,,"ENABLED"
"SYS_C008422","U","CATEGORIA","NOMBRE",1,,"ENABLED"
"SYS_C008558","C","CATEGORIA","CREADO_EN",,,"ENABLED"
"SYS_C008559","C","CATEGORIA","ACTUALIZADO_EN",,,"ENABLED"
"SYS_C008560","C","CATEGORIA","CREADO_POR",,,"ENABLED"
"SYS_C008561","C","CATEGORIA","ACTUALIZADO_POR",,,"ENABLED"
"SYS_C008438","C","CLIENTE","ID_CLIENTE",,,"ENABLED"
"SYS_C008439","C","CLIENTE","NOMBRES",,,"ENABLED"
"SYS_C008440","P","CLIENTE","ID_CLIENTE",1,,"ENABLED"
"SYS_C008566","C","CLIENTE","CREADO_EN",,,"ENABLED"
"SYS_C008567","C","CLIENTE","ACTUALIZADO_EN",,,"ENABLED"
"SYS_C008568","C","CLIENTE","CREADO_POR",,,"ENABLED"
"SYS_C008569","C","CLIENTE","ACTUALIZADO_POR",,,"ENABLED"
"UQ_CLIENTE_DNI_RUC","U","CLIENTE","DNI_RUC",1,,"ENABLED"
"CHK_DETALLE_PEDIDO_CANTIDAD","C","DETALLE_PEDIDO","CANTIDAD",,,"ENABLED"
"FK_DETALLE_PEDIDO_PEDIDO","R","DETALLE_PEDIDO","ID_PEDIDO",1,"SYS_C008504","ENABLED"
"FK_DETALLE_PEDIDO_PRODUCTO","R","DETALLE_PEDIDO","ID_PRODUCTO",1,"SYS_C008436","ENABLED"
"SYS_C008509","C","DETALLE_PEDIDO","ID_DETALLE_PEDIDO",,,"ENABLED"
"SYS_C008510","C","DETALLE_PEDIDO","ID_PEDIDO",,,"ENABLED"
"SYS_C008511","C","DETALLE_PEDIDO","ID_PRODUCTO",,,"ENABLED"
"SYS_C008512","C","DETALLE_PEDIDO","CANTIDAD",,,"ENABLED"
"SYS_C008514","P","DETALLE_PEDIDO","ID_DETALLE_PEDIDO",1,,"ENABLED"
"SYS_C008586","C","DETALLE_PEDIDO","CREADO_EN",,,"ENABLED"
"SYS_C008587","C","DETALLE_PEDIDO","ACTUALIZADO_EN",,,"ENABLED"
"SYS_C008588","C","DETALLE_PEDIDO","CREADO_POR",,,"ENABLED"
"SYS_C008589","C","DETALLE_PEDIDO","ACTUALIZADO_POR",,,"ENABLED"
"CHK_DETALLE_VENTA_CANTIDAD","C","DETALLE_VENTA","CANTIDAD",,,"ENABLED"
"CHK_DETALLE_VENTA_IMPORTE","C","DETALLE_VENTA","IMPORTE",,,"ENABLED"
"CHK_DETALLE_VENTA_IMPORTE_CALC","C","DETALLE_VENTA","PRECIO_UNITARIO",,,"ENABLED"
"CHK_DETALLE_VENTA_IMPORTE_CALC","C","DETALLE_VENTA","IMPORTE",,,"ENABLED"
"CHK_DETALLE_VENTA_IMPORTE_CALC","C","DETALLE_VENTA","CANTIDAD",,,"ENABLED"
"CHK_DETALLE_VENTA_PRECIO","C","DETALLE_VENTA","PRECIO_UNITARIO",,,"ENABLED"
"FK_DETALLE_VENTA_PRODUCTO","R","DETALLE_VENTA","ID_PRODUCTO",1,"SYS_C008436","ENABLED"
"FK_DETALLE_VENTA_VENTA","R","DETALLE_VENTA","ID_VENTA",1,"SYS_C008477","ENABLED"
"SYS_C008482","C","DETALLE_VENTA","ID_DETALLE_VENTA",,,"ENABLED"
"SYS_C008483","C","DETALLE_VENTA","ID_VENTA",,,"ENABLED"
"SYS_C008484","C","DETALLE_VENTA","ID_PRODUCTO",,,"ENABLED"
"SYS_C008485","C","DETALLE_VENTA","CANTIDAD",,,"ENABLED"
"SYS_C008486","C","DETALLE_VENTA","PRECIO_UNITARIO",,,"ENABLED"
"SYS_C008487","C","DETALLE_VENTA","IMPORTE",,,"ENABLED"
"SYS_C008492","P","DETALLE_VENTA","ID_DETALLE_VENTA",1,,"ENABLED"
"SYS_C008578","C","DETALLE_VENTA","CREADO_EN",,,"ENABLED"
"SYS_C008579","C","DETALLE_VENTA","ACTUALIZADO_EN",,,"ENABLED"
"SYS_C008580","C","DETALLE_VENTA","CREADO_POR",,,"ENABLED"
"SYS_C008581","C","DETALLE_VENTA","ACTUALIZADO_POR",,,"ENABLED"
"CHK_INSUMO_ESTADO","C","INSUMO","ESTADO",,,"ENABLED"
"CHK_INSUMO_STOCK_ACTUAL","C","INSUMO","STOCK_ACTUAL",,,"ENABLED"
"CHK_INSUMO_STOCK_MINIMO","C","INSUMO","STOCK_MINIMO",,,"ENABLED"
"FK_INSUMO_PROVEEDOR","R","INSUMO","ID_PROVEEDOR",1,"SYS_C008521","ENABLED"
"SYS_C008522","C","INSUMO","ID_INSUMO",,,"ENABLED"
"SYS_C008523","C","INSUMO","NOMBRE",,,"ENABLED"
"SYS_C008524","C","INSUMO","STOCK_ACTUAL",,,"ENABLED"
"SYS_C008525","C","INSUMO","STOCK_MINIMO",,,"ENABLED"
"SYS_C008526","C","INSUMO","ESTADO",,,"ENABLED"
"SYS_C008530","P","INSUMO","ID_INSUMO",1,,"ENABLED"
"SYS_C008594","C","INSUMO","CREADO_EN",,,"ENABLED"
"SYS_C008595","C","INSUMO","ACTUALIZADO_EN",,,"ENABLED"
"SYS_C008596","C","INSUMO","CREADO_POR",,,"ENABLED"
"SYS_C008597","C","INSUMO","ACTUALIZADO_POR",,,"ENABLED"
"CHK_LOCAL_ESTADO","C","LOCAL","ESTADO",,,"ENABLED"
