
"INDEX_NAME","TABLE_NAME","UNIQUENESS","COLUMN_NAME","COLUMN_POSITION"
"IDX_CAJA_LOCAL","CAJA","NONUNIQUE","ID_LOCAL",1
"IDX_CAJA_USUARIO","CAJA","NONUNIQUE","ID_USUARIO",1
"SYS_C008454","CAJA","UNIQUE","ID_CAJA",1
"SYS_C008421","CATEGORIA","UNIQUE","ID_CATEGORIA",1
"SYS_C008422","CATEGORIA","UNIQUE","NOMBRE",1
"SYS_C008440","CLIENTE","UNIQUE","ID_CLIENTE",1
"UQ_CLIENTE_DNI_RUC","CLIENTE","UNIQUE","DNI_RUC",1
"IDX_DETALLE_PEDIDO_PEDIDO","DETALLE_PEDIDO","NONUNIQUE","ID_PEDIDO",1
"IDX_DETALLE_PEDIDO_PRODUCTO","DETALLE_PEDIDO","NONUNIQUE","ID_PRODUCTO",1
"SYS_C008514","DETALLE_PEDIDO","UNIQUE","ID_DETALLE_PEDIDO",1
"IDX_DETALLE_VENTA_PRODUCTO","DETALLE_VENTA","NONUNIQUE","ID_PRODUCTO",1
"IDX_DETALLE_VENTA_VENTA","DETALLE_VENTA","NONUNIQUE","ID_VENTA",1
"SYS_C008492","DETALLE_VENTA","UNIQUE","ID_DETALLE_VENTA",1
"IDX_INSUMO_PROVEEDOR","INSUMO","NONUNIQUE","ID_PROVEEDOR",1
"SYS_C008530","INSUMO","UNIQUE","ID_INSUMO",1
"SYS_C008407","LOCAL","UNIQUE","ID_LOCAL",1
"SYS_C008408","LOCAL","UNIQUE","NOMBRE",1
"IDX_MOVIMIENTO_INSUMO","MOVIMIENTO_INVENTARIO","NONUNIQUE","ID_INSUMO",1
"IDX_MOVIMIENTO_PRODUCTO","MOVIMIENTO_INVENTARIO","NONUNIQUE","ID_PRODUCTO",1
"IDX_MOVIMIENTO_USUARIO","MOVIMIENTO_INVENTARIO","NONUNIQUE","ID_USUARIO",1
"SYS_C008542","MOVIMIENTO_INVENTARIO","UNIQUE","ID_MOVIMIENTO",1
"IDX_PEDIDO_USUARIO","PEDIDO","NONUNIQUE","ID_USUARIO",1
"IDX_PEDIDO_VENTA","PEDIDO","NONUNIQUE","ID_VENTA",1
"SYS_C008504","PEDIDO","UNIQUE","ID_PEDIDO",1
"UQ_PEDIDO_NRO_COMANDA","PEDIDO","UNIQUE","NRO_COMANDA",1
"UQ_PEDIDO_NRO_ORDEN","PEDIDO","UNIQUE","NRO_ORDEN",1
"IDX_PRODUCTO_CATEGORIA","PRODUCTO","NONUNIQUE","ID_CATEGORIA",1
"SYS_C008436","PRODUCTO","UNIQUE","ID_PRODUCTO",1
"SYS_C008521","PROVEEDOR","UNIQUE","ID_PROVEEDOR",1
"SYS_C008401","ROL","UNIQUE","ID_ROL",1
"SYS_C008402","ROL","UNIQUE","NOMBRE",1
"IDX_USUARIO_ROL","USUARIO","NONUNIQUE","ID_ROL",1
"SYS_C008416","USUARIO","UNIQUE","ID_USUARIO",1
"SYS_C008417","USUARIO","UNIQUE","CORREO",1
"IDX_VENTA_CAJA","VENTA","NONUNIQUE","ID_CAJA",1
"IDX_VENTA_CLIENTE","VENTA","NONUNIQUE","ID_CLIENTE",1
"IDX_VENTA_LOCAL","VENTA","NONUNIQUE","ID_LOCAL",1
"IDX_VENTA_USUARIO","VENTA","NONUNIQUE","ID_USUARIO",1
"SYS_C008477","VENTA","UNIQUE","ID_VENTA",1
"UQ_VENTA_COMPROBANTE","VENTA","UNIQUE","SERIE_COMPROBANTE",1
"UQ_VENTA_COMPROBANTE","VENTA","UNIQUE","NUMERO_COMPROBANTE",2
